,society_name,short_description,bhk,square_feet,price,description
97,3C Lotus Boulevard,"2 BHK Flat in Sector 100, Noida",2 BHK,"1,183 sqft",₹1.2 Cr,"Check out this 2 bhk apartment for sale in 3c lotus boulevard, a popular residential project that houses in-Demand flats in sector 100 noida. The flat is north-East-Facing. Constructed on a super built up area of 1183 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 2 balconies. The flat has a total of 22 floors and this property is situated on 5th floor. As the project is already ready..."
98,Rani Aakriti Shantiniketan,"2 BHK Flat in Sector 143B, Noida",2 BHK,"1,350 sqft",₹1.58 Cr,"This 2 bhk flat is located in rani aakriti shantiniketan, which houses some of the most spacious flats in sector 143b noida. The flat is north-East-Facing. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and more than 3 balconies. All in all, the flat is spread over a super built up area of 1350 sq.Ft. This flat is situated on the 5th floor of this 24 floors tall residential buil..."
99,Jaypee Greens Kosmos,"2 BHK Flat in Sector 134, Noida",2 BHK,942 sqft,₹72.9 Lac,"2 bhk ready to move flat available for sell in jaypee wish town kosmos, sector-134, noida"
100,Jaypee Greens Kalypso Court,"2 BHK Flat in Sector 128, Noida",2 BHK,"2,050 sqft",₹2.5 Cr,The kalypso court - Golf facing luxury apartment. At jaypee greens wish town noida. There are masterfully crafter apartments that celebrate high efficiency of modern lifestyle with special emphasis on providing excellent views of the landscaped greens from all key areas. These apartments offer access to premium social club and other recreational facilities for the entire family. The traditional...
101,Eureka Park By Tata Value Homes,"2 BHK Flat in Sector 150, Noida",2 BHK,"1,100 sqft",₹1 Cr,"Situated in sector 150 noida, eureka park by tata value homes is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in noida is your opportunity to be a part of this community. This residential flat is east-Facing direction. Constructed on a super built up area of 1100 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 3 balconies. The flat h..."
102,Jaypee Greens Klassic Heights,"2 BHK Flat in Sector 134, Noida",2 BHK,"1,280 sqft",₹94 Lac,"2 bhk 4 side open corner flat with store and comfortable flat with 2 bathrooms and 4 balconies having large green having big rooms, kitchen, toilets. With its lush green surroundings and state-Of-The-Art modern facilities , jaypee greens klaasic is all decked up to set a new standard of luxurious living in affordable price. Located in largest township of north india. Township is beautifully cra..."
103,Great Value Sharanam,"2 BHK Flat in Sector 107, Noida",2 BHK,"1,295 sqft",₹1.65 Cr,"Looking for a 2 bhk property for sale in noida? Buy this 2 bhk flat in great value sharanam that is situated in sector 107 noida. The flat is facing the east direction. The flat occupies a super built up area of 1295 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 2 balconies. The flat has a total of 21 floors and this property is situated on 12th floor. An added advantage of this 1-5 years..."
104,Supertech Ecociti,2 BHK Flat in Sector 137 Noida,2 BHK,890 sqft,₹73.6 Lac,"Situated in sector 137 noida, supertech ecociti is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in noida is your opportunity to be a part of this community. The flat is facing the north-East direction. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 8..."
105,Jaypee Greens Wish Town Klassic,"2 BHK Flat in Sector 129, Noida",2 BHK,"1,280 sqft",₹91 Lac,"Jaypee greens klassic is a part of 1162 acres of jaypee wish town at the very prime location in noida, a modern residential gated community with landscaped greens and gardens, is an addition to the array of residences at wish town. Jaypee greens klassic gives you a wide choice of homes that suit your lifestyle, budget and location. A secure township, that assures enormous comfort to life. Resid..."
106,Supertech Ecociti,2 BHK Flat in Sector 137 Noida,2 BHK,"1,082 sqft",₹86 Lac,"This beautiful 2 bhk flat in sector 137 noida is situated in supertech ecociti, one of the popular residential society in noida. This property faces the south-East direction. The flat is over 1082 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 3 balconies. The residential building has 20 floors in total and the flat for sale is located on the 7th floor. This 1-5 years o..."
107,Elixir Divine Meadows,"2 BHK Flat in Sector 108, Noida",2 BHK,"1,188 sqft",₹1.05 Cr,This property is located on expressway very near to greater noida and delhi .
108,Sam Palm Olympia,2 BHK Flat in Noida Extension,2 BHK,893 sqft,₹71 Lac,"Situated in noida extension, sam palm olympia is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in noida is your opportunity to be a part of this community. This property faces the east direction. Constructed on a super built up area of 893 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 2 balconies. The residential building has 19 flo..."
109,Logix Blossom County,2 BHK Flat in Sector 137 Noida,2 BHK,990 sqft,₹1 Cr,"2 bhk flat for sale in logix blossom county, sector 137, noida Key details: Location: Popular residential address in sector 137, noida Type: 2 bhk flat Super built-Up area: 990 sqft Floor: 4th floor of a 20-Floor building Age of property: 5-10 years old Status: Ready to move in Condition: Semi-Furnished Layout: Bedrooms: 2 Bathrooms: 2 Balconies: 2 Amenities: Swimming pool Clubhouse / community..."
110,Parsvnath Prestige,"2 BHK Flat in Sector 93, Noida",2 BHK,"1,260 sqft",₹1.26 Cr,"Located in the popular residential address of sector 93 noida, parsvnath prestige is one of the most preferred destination for apartments in noida. This 2 bhk flat is your ticket to be a part of this community. This is a north-Facing property. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a carpet area of 1260 sq.Ft. The flat..."
111,Grand Ajnara Heritage,"2 BHK Flat in Sector 74, Noida",2 BHK,"1,075 sqft",₹1.1 Cr,"Experience luxury living with this spacious 2 bhk flat, featuring 2 bathrooms and a store room, available for sale in one of the most prestigious societies in noida, sector 74. This ultra-Premium community boasts beautifully landscaped surroundings, a modern clubhouse, a swimming pool, a fully equipped gym, a children's play area, and 24x7 security. Perfectly located and well-Connected to key a..."
112,Skytech Matrott,"2 BHK Flat in Sector 76, Noida",2 BHK,"1,015 sqft",₹94 Lac,"Check out this 2 bhk apartment for sale in skytech matrott, a popular residential project that houses in-Demand flats in sector 76 noida. This property faces the north-West direction. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a carpet area of 1015 sq.Ft. This flat lies on the 6th level of a 16 storey building. This is a ready to move project and the property..."
113,3C Lotus Panache,"2 BHK Flat in Sector 110, Noida",2 BHK,"1,220 sqft",₹90 Lac,"Situated in sector 110 noida, 3c lotus panache is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in noida is your opportunity to be a part of this community. This property faces the east direction. The floor plan additionally contains 2 bedroom(s), 3 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 1220 sq..."
114,ACE Golfshire,"2 BHK Flat in Sector 150, Noida",2 BHK,"1,195 sqft",₹1.48 Cr,"For sale: Registered premium 2bhk apartment in sector 150, noida. Discover luxury living with a homely touch! This semi-Furnished 2bhk apartment offers elegant hotel-Style interiors and top-Notch amenities. The interiors were designed for my personal use so one can be rest assured on the quality of work and materials used. Key features include: Spacious layout: Thoughtfully designed interiors w..."
115,sikka karnam sector 143B,"2 BHK Flat in Sector 143, Noida",2 BHK,950 sqft,₹1.04 Cr,"Looking for a 2 bhk property for sale in noida? Buy this 2 bhk flat in sikka kaamna greens that is situated in sector 143 noida. This is a north-East-Facing property. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 950 sq.Ft. This flat is situated on the 15th floor of this 21 floors tall residential bui..."
116,Samridhi Luxuriya Avenue,"2 BHK Flat in Sector 150, Noida",2 BHK,"1,165 sqft",₹1.04 Cr,"Samridhi luxuriya avenue is one of the most popular destination for buying apartments/ flats in sector 150 noida. You too can be a part of this society by purchasing this 2 bhk flat here. This is a north-West-Facing property. Containing 2 bedroom(s), 2 bathrooms and more than 3 balconies, this flat is spread over a super built up area of 1165 sq.Ft. The residential building has 23 floors in tot..."
117,Ajnara Daffodil,2 BHK Flat in Sector 137 Noida,2 BHK,"1,115 sqft",₹1.2 Cr,"It's a very well maintained and luxury flat , sun facing , vastu perfect, ready to move flat , all wooden work done and very nice intereor ."
118,Jaypee Greens Klassic Heights,"2 BHK Flat in Sector 134, Noida",2 BHK,"1,265 sqft",₹1.01 Cr,"This beautiful 2 bhk flat in sector 134 noida is situated in jaypee greens klassic heights, one of the popular residential society in noida. This property faces the east direction. Containing 2 bedroom(s), 3 bathrooms and 2 balconies, this flat is spread over a super built up area of 1265 sq.Ft. The residential building has 18 floors in total and the flat for sale is located on the 9th floor. B..."
119,ACE Parkway,"2 BHK Flat in Sector 150, Noida",2 BHK,"1,095 sqft",₹1.3 Cr,Available for sell 2 bhk flat Luxury apartments Including maintenance Lots of amenities like Swimming pool Gym Banquet hall Kids playground Sports area With parking
120,Dkrrish Green Beauty Farms,"2 Bedroom Farm house in Sector 135, Noida",2 BHK,"9,072 sqft",₹85 Lac,Ready to move farm house in noida with all amenities and services free hold proparty with ragistry and security guard government electricity pollution free zone green bult area
121,Jaypee Greens Kalypso Court,"2 BHK Flat in Sector 128, Noida",2 BHK,"1,885 sqft",₹2.15 Cr,"Situated in sector 128 noida, jaypee greens kalypso court is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in noida is your opportunity to be a part of this community. The flat is north-East-Facing. The flat occupies a super built up area of 1885 sq.Ft. That consists of 2 bedrooms, 3 bathrooms and 1 balcony. The residential building has 24 flo..."
122,Jaypee Greens Kensington Park Apartments,"2 BHK Flat in Sector 133, Noida",2 BHK,"1,107 sqft",₹84 Lac,"Yamuna facing 2 side open, corner property with woodwork, is available for urgent sale. Very good open view. Pls call me for more details."
123,Jaypee Greens The Pavilion Court,"2 BHK Flat in Sector 128, Noida",2 BHK,"1,350 sqft",₹1.3 Cr,"Welcome to the world of modern living, a world of living in style. The pavilion court apartments are strategically located and offer serene view of nature and golf. These fully-Finished, modern, hi-Efficiency apartments in 1/2/3 bhk formats, are thoughtfully designed and offer generously proportioned spaces that emphasize on optimum space utilization and reflect stylish living. The interiors fo..."
124,Grand Ajnara Heritage,"2 BHK Flat in Sector 74, Noida",2 BHK,"1,230 sqft",₹1.25 Cr,"This 2 bhk plus study apartment is available for sale in grand anjara heritage, one of the most prominent projects for flats in sector 74 noida. This property faces the north-East direction. Constructed on a super built up area of 1230sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms, study room and 3 balconies. The residential building has 19 floors in total and the flat for sale is located..."
125,Jaypee Greens Kalypso Court,"2 BHK Flat in Sector 128, Noida",2 BHK,"1,885 sqft",₹2.4 Cr,Occupancy certificate issued by noida authority Split ac in all bedrooms and in living/ dining area Golf facing apartments 27.18% price appreciation in the last 1 year Properties with 100% power backup available
126,sector 100,"2 Bedroom House in C Block Sector-100, Noida",2 BHK,"1,210 sqft",₹3.45 Cr,Stilt parking and first floor made with lift provision new construction (Stechure only) call me for any other inquiry
127,Galaxy Vega,"2 BHK Flat in Noida Extension, Noida",2 BHK,995 sqft,₹65 Lac,"Spacious semi furnished flat, proper park facing and sun facing flat."
128,Jaypee Greens Pavilion Heights,"2 BHK Flat in Sector 128, Noida",2 BHK,"1,485 sqft",₹1.45 Cr,"Surrounded by green open spaces and natural tranquility, the pavilion heights is the latest addition to the existing contemporary homes at jaypee greens, noida that assures optimum space utilization, comfort and stylish living. Pavilion heights are the fully-Finished, modern, hi-Efficiency apartments that offer 2 bhk + study 3 bhk + study family apartments. These apartments enjoy refreshing vie..."
129,Supertech Ecociti,2 BHK Flat in Sector 137 Noida,2 BHK,"1,082 sqft",₹90 Lac,"This lovely 2 bhk apartment/flat in sector 137 noida is available for sale in one of noida's most popular projects, supertech ecociti. This is a east-Facing property. The flat is over 1082 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 3 balconies. This flat lies on the 3rd level of a 20 storey building. This 5-10 years old property is available for immediate possession..."
130,Grand Omaxe,"2 BHK Flat in Sector 93 B, Noida",2 BHK,"1,110 sqft",₹1.25 Cr,This is well mentainted society..
131,Dkrrish Green Beauty Farms,"2 Bedroom Farm house in Sector 135, Noida",2 BHK,"9,135 sqft",₹1.25 Cr,Noida farm house 800 farm house developed in this area.
132,Prateek Wisteria,"2 BHK Flat in Sector 77, Noida",2 BHK,955 sqft,₹1.1 Cr,"Prateek Wisteria offers 2 BHK flats in Sector 77, Noida. These are a ready to move flats. There are a total of 20 towers in the project. The project is a nicely designed and offers an excellent infrastructure to the residents. It spreads across a super built-up area of 955.0 sq. ft. You can now get it for Rs. 1.1 Crore. Prateek Wisteria offers inclusion of essential amenities like Aerobics Cent..."
133,ACE Parkway,"2 BHK Flat in Sector 150, Noida",2 BHK,"1,095 sqft",₹1.25 Cr,Available for sell on prime location 2 bhk flat Luxury apartments Including maintenance Lots of amenities like Swimming pool Gym Banquet hall Kids playground Sports area With parking
134,Jaypee Greens Kalypso Court,"2 BHK Flat in Sector 128, Noida",2 BHK,"2,080 sqft",₹2.2 Cr,"This lovely 2 bhk apartment/flat in sector 128 noida is available for sale in one of noida's most popular projects, jaypee greens kalypso court. Constructed on a super built up area of 2080 sq.Ft., the flat comprises 2 bedroom(s), 3 bathrooms and 1 balcony. This flat is situated on the 8th floor of this 24 floors tall residential building. Being a ready to move project, you can expect immediate..."
135,Gaur 16th Avenue,2 BHK Flat in Noida Extension,2 BHK,"1,060 sqft",₹71 Lac,"This lovely 2 bhk apartment/flat in noida extension is available for sale in one of noida's most popular projects, gaur 16th avenue. This property faces the east direction. Containing 2 bedroom(s), 2 bathrooms and 3 balconies, this flat is spread over a super built up area of 1205 sq.Ft. The residential building has 20 floors in total and the flat for sale is located on the 3rd floor. As the pr..."
136,Dkrrish Green Beauty Farms,"2 Bedroom Farm house in Sector 135, Noida",2 BHK,"11,880 sqft",₹75 Lac,Farm house available for sale sector 135 noida
137,Samridhi Luxuriya Avenue,"2 BHK Flat in Sector 150, Noida",2 BHK,"1,165 sqft",₹1.05 Cr,"Samridhi luxuriya avenue is one of the most popular destination for buying apartments/ flats in sector 150 noida. You too can be a part of this society by purchasing this 2 bhk flat here. This is a north-East-Facing property. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 1165 sq.Ft. The residential bu..."
138,Jaypee Greens Kalypso Court,"2 BHK Flat in Sector 128, Noida",2 BHK,"1,820 sqft",₹2.2 Cr,"This 2 bhk apartment is available for sale in jaypee greens kalypso court, one of the most prominent projects for flats in sector 128 noida. The flat is facing the north direction. Containing 2 bedroom(s), 3 bathrooms and 1 balcony, this flat is spread over a super built up area of 1820 sq.Ft. This flat is situated on the 7th floor of this 24 floors tall residential building. An added advantage..."
139,Elixir Divine Meadows,"2 BHK Flat in Sector 108, Noida",2 BHK,"1,436 sqft",₹1.15 Cr,"Divine Address: Noida, sector-108 noida, noida, u p About property Address: Sector-108 noida, noida, u p Basic utilities:- Market places, schools, colleges, hospitals and banks/atms are also within easy reach. Nearby amity and hcl. Society/ building features:- Security Lift Power back up Clubhouse, Swimming pool Childrens play area Sports facility Well-Equipped gymnasium Reserved parking space ..."
140,Paras Tierea,2 BHK Flat in Sector 137 Noida,2 BHK,825 sqft,₹80 Lac,"Check out this 2 bhk apartment for sale in paras tierea, a popular residential project that houses in-Demand flats in sector 137 noida. This is a north-Facing property. The flat occupies a super built up area of 825 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 2 balconies. This flat is situated on the 8th floor of this 27 floors tall residential building. This is a ready to move project ..."
141,Paras Tierea,2 BHK Flat in Sector 137 Noida,2 BHK,925 sqft,₹68 Lac,"This beautiful 2 bhk flat in sector 137 noida is situated in paras tierea, one of the popular residential society in noida. The flat is north-West-Facing. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a super built up area of 925 sq.Ft. The residential building has 27 floors in total and the flat for sale is located on the 16th floor. This is a ready to move pro..."
142,Amrapali Silicon City,"2 BHK Flat in Sector 76, Noida",2 BHK,"1,180 sqft",₹95 Lac,"New property, vaastu compliant, east facing, proper sun light. Ample natural light and remains cool in summers saves on electricity bill. Very good view with tennis court in front. Very well connected with metro and buses. Next to market. Good wibes"
143,Skytech Matrott,"2 BHK Flat in Sector 76, Noida",2 BHK,"1,150 sqft",₹1.15 Cr,"Located in the popular residential address of sector 76 noida, skytech matrott is one of the most preferred destination for apartments in noida. This 2 bhk flat is your ticket to be a part of this community. The flat is facing the east direction. Containing 2 bedroom(s), 2 bathrooms and more than 3 balconies, this flat is spread over a super built up area of 1150 sq.Ft. The flat has a total of ..."
144,Amrapali Zodiac,"2 BHK Flat in Sector 120, Noida",2 BHK,950 sqft,₹72 Lac,"This beautiful 2 bhk flat in sector 120 noida is situated in amrapali zodiac, one of the popular residential society in noida. The flat occupies a super built up area of 950 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 2 balconies. The flat has a total of 18 floors and this property is situated on 6th floor. This 10+ years old property is available for immediate possession as the project..."
145,Eureka Park By Tata Value Homes,"2 BHK Flat in Sector 150, Noida",2 BHK,"1,100 sqft",₹1.03 Cr,"Situated in sector 150 noida, eureka park by tata value homes is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in noida is your opportunity to be a part of this community. Containing 2 bedroom(s), 2 bathrooms , this flat is spread over a carpet area of 1100 sq.Ft. The property is located on the 11th floor of a 28 floors tall building. The flat..."
146,ACE Golfshire,"2 BHK Flat in Sector 150, Noida",2 BHK,"1,195 sqft",₹1.4 Cr,"Ace golfshire is one of the most popular destination for buying apartments/ flats in sector 150 noida. You too can be a part of this society by purchasing this 2 bhk flat here. The flat is north-Facing. The flat is over 1195 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 3 balconies. This flat lies on the 11th level of a 22 storey building. As the project is already rea..."
147,Godrej Woods,"2 BHK Flat in Sector 43, Noida",2 BHK,723 sqft,₹1.6 Cr,"This 2 bhk apartment is available for sale in godrej woods, one of the most prominent projects for flats in sector 43 noida. This property faces the north-East direction. The flat occupies a carpet area of 724 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 1 balcony. This flat is situated on the 11th floor of this 34 floors tall residential building. Being a ready to move project, you can ..."
148,ACE Parkway,"2 BHK Flat in Sector 150, Noida",2 BHK,"1,085 sqft",₹1.45 Cr,"This lovely 2 bhk apartment/flat in sector 150 noida is available for sale in one of noida's most popular projects, ace parkway. The flat is facing the north-East direction. The flat is over 1085 sq.Ft. Carpet area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. The flat has a total of 26 floors and this property is situated on 10th floor. This 1-5 years old property is available for ..."
149,Supertech Supernova,"2 BHK Flat in Sector 94, Noida",2 BHK,"2,110 sqft",₹2.74 Cr,"Supertech supernova sector 94 has 4 towers, with 76 floors each and 5708 units on offer.Spread over an area of 17.3 acres, supertech supernova is one of the spacious housing societies in the noida region. With all the basic amenities available, supertech supernova fits into your budget and your lifestyle.N sector 94 has good connectivity to some of the important areas in the proximity such as o..."
150,ACE Parkway,"2 BHK Flat in Sector 150, Noida",2 BHK,"1,095 sqft",₹1.25 Cr,"This lovely 2 bhk apartment/flat in sector 150 noida is available for sale in one of noida's most popular projects, ace parkway. The flat is east-Facing. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1095 sq.Ft. The property is located on the 10th floor of a 26 floors tall building. This 1-5 years old..."
151,Rani Aakriti Shantiniketan,"2 BHK Flat in Sector 143B, Noida",2 BHK,"1,350 sqft",₹1.6 Cr,"Rani aakriti shantiniketan is one of the most popular destination for buying apartments/ flats in sector 143b noida. You too can be a part of this society by purchasing this 2 bhk flat here. This is a north-East-Facing property. Containing 2 bedroom(s), 2 bathrooms and more than 3 balconies, this flat is spread over a super built up area of 1350 sq.Ft. This flat is situated on the 5th floor of ..."
152,Gaur 12th Avenue,2 BHK Flat in Noida Extension,2 BHK,"1,225 sqft",₹82 Lac,"This 2 bhk flat is located in gaur 12th avenue, which houses some of the most spacious flats in noida extension. The flat is east-Facing. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and more than 3 balconies. All in all, the flat is spread over a super built up area of 1225 sq.Ft. The residential building has 26 floors in total and the flat for sale is located on the 17th flo..."
153,Logix Blossom County,2 BHK Flat in Sector 137 Noida,2 BHK,"1,202 sqft",₹1.15 Cr,"Looking for a 2 bhk property for sale in noida? Buy this 2 bhk flat in logix blossom county that is situated in sector 137 noida. This is a north-West-Facing property. Constructed on a built up area of 1202 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 3 balconies. This flat lies on the 8th level of a 20 storey building. As the project is already ready to move, so you can easily move..."
154,Jaypee Greens Kosmos,"2 BHK Flat in Sector 134, Noida",2 BHK,942 sqft,₹73 Lac,"2 bhk corner and comfortable flat with 2 bathrooms is having large green view. With its lush green surroundings and state-Of-The-Art modern facilities , jaypee kosmos greens is all decked up to set a new standard of luxurious living in affordable price. Located in largest township of north india. Township is beautifully crafted having all the basic necessities for a family like school, malls, h..."
155,Jaypee Greens Kosmos,"2 BHK Flat in Sector 134, Noida",2 BHK,942 sqft,₹72.5 Lac,"2 bhk corner and comfortable flat with 2 bathrooms is having large green view. With its lush green surroundings and state-Of-The-Art modern facilities , jaypee kosmos greens is all decked up to set a new standard of luxurious living in affordable price. Located in largest township of north india. Township is beautifully crafted having all the basic necessities for a family like school, malls, h..."
156,Apex Athena,"2 BHK Flat in Sector 75, Noida",2 BHK,"1,295 sqft",₹1.45 Cr,"This lovely 2 bhk apartment/flat in sector 75 noida is available for sale in one of noida's most popular projects, apex athena. This residential flat is west-Facing direction. The flat occupies a super built up area of 1295 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and more than 3 balconies. This flat is situated on the 10th floor of this 25 floors tall residential building. Being a ready..."
157,The Hyde Park,2 BHK Flat in Sector 78 Noida,2 BHK,"1,010 sqft",₹1.13 Cr,"This 2 bhk apartment is available for sale in the hyde park, one of the most prominent projects for flats in sector 78 noida. This property faces the east direction. Containing 2 bedroom(s), 2 bathrooms and 3 balconies, this flat is spread over a super built up area of 1010 sq.Ft. This flat is situated on the 21st floor of this 22 floors tall residential building. This is a ready to move projec..."
158,Supertech Ecociti,2 BHK Flat in Sector 137 Noida,2 BHK,890 sqft,₹73.5 Lac,"Check out this 2 bhk apartment for sale in supertech ecociti, a popular residential project that houses in-Demand flats in sector 137 noida. This is a north-East-Facing property. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 890 sq.Ft. The property is located on the 11th floor of a 15 floors tall buil..."
159,Gaur City 2 14th Avenue,2 BHK Flat in Noida Extension,2 BHK,"745-1,040 sqft",₹51 - 70.73 Lac,"Book your 2 BHK flat in Gaur City 2 14th Avenue, Noida Extension, Noida. Having a super built-up area of 745.0 sq. ft. - 1040.0 sq. ft., these flats promise an exclusive view and refreshing vibes, making them well ventilated. It is a superbly design project set amidst excellent surroundings and offers residents a world-class infrastructure. Look at its range of general amenities to premium amen..."
160,Stellar One,2 BHK Flat in Noida Extension,2 BHK,982 sqft,₹75 Lac,Ready to move Very spacious 2bhk+2 washroom apartment. Unused apartment Loan available from government bank. Semi furnished flat. Park facing All size available in this society 1132 and 1441 sqft also available
161,Eldeco Live By The Greens,"2 BHK Flat in Sector 150, Noida",2 BHK,"1,155 sqft",₹1 Cr,"Check out this 2 bhk apartment for sale in eldeco live by the greens, a popular residential project that houses in-Demand flats in sector 150 noida. The flat is north-East-Facing. The flat is over 1155 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 3 balconies. The residential building has 22 floors in total and the flat for sale is located on the 8th floor. As the proj..."
162,Logix Blossom Greens,"2 BHK Flat in Sector 143, Noida",2 BHK,"1,234 sqft",₹62 Lac,New condition flat semi furnished sun facing southeast
163,Jaypee Greens Kosmos,"2 BHK Flat in Sector 134, Noida",2 BHK,942 sqft,₹75 Lac,"We believe that good living is as much as a state of mind as a tangible reality. Jaypee greens kosmos, a modern residential gated community with expansive landscaped greens and gardens, is an addition to the array of residences at wish town. Jaypee greens kosmos gives you a wide choice of homes that suit your lifestyle, budget and location. Meticulously designed these towers offer 2, 3 & 4 bhk ..."
164,Jaypee Greens The Pavilion Court,"2 BHK Flat in Sector 128, Noida",2 BHK,"1,350 sqft",₹1.11 Cr,"Welcome to the world of modern living, a world of living in style. The pavilion court apartments are strategically located and offer serene view of nature and golf. These fully-Finished, modern, hi-Efficiency apartments in 1/2/3 bhk formats, are thoughtfully designed and offer generously proportioned spaces that emphasize on optimum space utilization and reflect stylish living. The interiors fo..."
165,Amrapali Princely Estate,"2 BHK Flat in Sector 76, Noida",2 BHK,"1,015 sqft",₹75 Lac,"This beautiful 2 bhk flat in sector 76 noida is situated in amrapali princely estate, one of the popular residential society in noida. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1015 sq.Ft. The property is located on the 8th floor of a 17 floors tall building. An added advantage of this 1-5 years o..."
166,Gaur City 2 14th Avenue,2 BHK Flat in Noida Extension,2 BHK,955 sqft,₹70.25 Lac,2 bhk flat for sale in 14th avenue gaur city 2 apartment with 2 washrooms + 2 balconies prime location of noida extension fully ventilated 955 sqft apartment semi furnished property ready to move flat park & pool facing flat with health club swimming pools sports facilities (Including bowling alley videogame poll table indoor golf putts etc a commercial complex with departmental store laundry s...
167,Gaur City 2 14th Avenue,2 BHK Flat in Noida Extension,2 BHK,955 sqft,₹70 Lac,2 bhk flat for sale in 14th avenue gaur city 2 apartment with 2 washrooms + 2 balconies prime location of noida extension fully ventilated 955 sqft apartment semi furnished property ready to move flat park & pool facing flat with health club swimming pools sports facilities (Including bowling alley videogame poll table indoor golf putts etc a commercial complex with departmental store laundry s...
168,Gaur City 2 14th Avenue,2 BHK Flat in Noida Extension,2 BHK,985 sqft,₹72.21 Lac,2 bhk flat for sale in 14th avenue gaur city 2 apartment with 2 washrooms + 3 balconies prime location of noida extension fully ventilated 985 sqft apartment semi furnished property ready to move flat park & pool facing flat with health club swimming pools sports facilities (Including bowling alley videogame poll table indoor golf putts etc a commercial complex with departmental store laundry s...
169,Gaur City 2 14th Avenue,2 BHK Flat in Noida Extension,2 BHK,985 sqft,₹71.9 Lac,2 bhk flat for sale in 14th avenue gaur city 2 apartment with 2 washrooms + 3 balconies prime location of noida extension fully ventilated 985 sqft apartment semi furnished property ready to move flat park & pool facing flat with health club swimming pools sports facilities (Including bowling alley videogame poll table indoor golf putts etc a commercial complex with departmental store laundry s...
170,Gaur City 2 14th Avenue,2 BHK Flat in Noida Extension,2 BHK,"1,040 sqft",₹79 Lac,2 bhk flat for sale in 14th avenue gaur city 2 apartment with 2 washrooms + 2 balconies prime location of noida extension fully ventilated 1040 sqft apartment semi furnished property ready to move flat park & pool facing flat with health club swimming pools sports facilities (Including bowling alley videogame poll table indoor golf putts etc a commercial complex with departmental store laundry ...
171,Gaur City 2 14th Avenue,2 BHK Flat in Noida Extension,2 BHK,955 sqft,₹71.5 Lac,2 bhk flat for sale in 14th avenue gaur city 2 apartment with 2 washrooms + 2 balconies prime location of noida extension fully ventilated 955 sqft apartment semi furnished property ready to move flat park & pool facing flat with health club swimming pools sports facilities (Including bowling alley videogame poll table indoor golf putts etc a commercial complex with departmental store laundry s...
172,Elite Golf Greens,"2 BHK Flat in Sector 79, Noida",2 BHK,"1,215-1,385 sqft",₹1.46 - 1.66 Cr,"Book your 2 BHK flat in Elite Golf Greens, Sector 79, Noida. Having a super built-up area of 1215.0 sq. ft. - 1385.0 sq. ft., these flats promise an exclusive view and refreshing vibes, making them well ventilated. It is a superbly design project set amidst excellent surroundings and offers residents a world-class infrastructure. Look at its range of general amenities to premium amenities that ..."
