,society_name,short_description,bhk,square_feet,price,description
36,The Hyde Park,2 BHK Flat in Sector 78 Noida,2 BHK,"1,010 sqft",₹1.13 Cr,"The hyde park is one of the most popular destination for buying apartments/ flats in sector 78 noida. You too can be a part of this society by purchasing this 2 bhk flat here. This property faces the north direction. Containing 2 bedroom(s), 2 bathrooms and 3 balconies, this flat is spread over a carpet area of 1010 sq.Ft. The property is located on the 10th floor of a 22 floors tall building. ..."
37,Parsvnath Prestige,"2 BHK Flat in Sector 93, Noida",2 BHK,"1,215 sqft",₹1.2 Cr,"This is a meticulously designed 2 bhk resale apartment located in sector-93, noida. It is a leasehold property. The flat is a spacious property and is ready to move in. Located in an integrated society of parsvnath prestige, it has 2 bathroom(s) and 2 balcony(s). This is a feng shui/vaastu compliant property. It is a south-West facing property which offers a wonderful view of main road. It is a..."
38,Amarpali Scilion City,"2 BHK Flat in Sector 76, Noida",2 BHK,936 sqft,₹90 Lac,"This beautiful 2 bhk flat in sector 76 noida is situated in amarpali scilion city, one of the popular residential society in noida. This is a east-Facing property. The flat is over 936 sq.Ft. Carpet area and comes with 2 bedroom(s), 2 bathrooms and 3 balconies. The flat has a total of 18 floors and this property is situated on 13th floor. This 5-10 years old property is available for immediate ..."
39,Dkrrish Green Beauty Farms,"2 Bedroom Farm house in Sector 135, Noida",2 BHK,"9,135 sqft",₹1.15 Cr,Noida farm house 800 farm house developed in this area.
40,Supertech Ecociti,2 BHK Flat in Sector 137 Noida,2 BHK,890 sqft,₹80 Lac,"Supertech ecociti is one of the most popular destination for buying apartments/ flats in sector 137 noida. You too can be a part of this society by purchasing this 2 bhk flat here. The flat is north-East-Facing. The flat occupies a super built up area of 890 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 3 balconies. The flat has a total of 17 floors and this property is situated on 5th fl..."
41,Supertech Cape Town,"2 BHK Flat in Sector 74, Noida",2 BHK,"1,150 sqft",₹82 Lac,Residential apartment for sell. Located in sector 74.It is a semi furnished property. The property has 2 bedrooms with 2 bathrooms .Available at an expected price of rs. 8200000. Located on 19th floor out of the 19 the property comes with a good construction quality which ages 5-10 years old property Additional details : Piped gas facility is available in the property. The apartment has borings...
42,Gaur Grandeur,"2 BHK Flat in Sector 119, Noida",2 BHK,"1,085 sqft",₹91 Lac,"Gaur grandeur located in sector 119 , noida is a well-Crafted township. This property is 1085 ft spacious 2bhk+store plus 2 toilet + 4 balcony and 01 covered car parking.This flat is well decorated & renovated with good quality wooden work,balcony are sun face as well as green belt face,lower floor. The gaur grandeur is located at the plot no-Gh-4, sector-119, noida, uttar pradesh. This buildin..."
43,Exotica Fresco,2 BHK Flat in Sector 137 Noida,2 BHK,"1,110 sqft",₹1.1 Cr,"2bhk multistorey apartment available for sale in exotica fresco sector 137, noida. Comprising of 2bedrooms with 2 toilets, drawing dining and modular kitchen with all modern amenities. If you are interested to call me."
44,Elite Golf Greens,"2 BHK Flat in Sector 79, Noida",2 BHK,"1,215 sqft",₹1.46 Cr,"Elite Golf Greens offers 2 BHK flats in Sector 79, Noida. These are a ready to move flats. There are a total of 8 towers in the project. The project is a nicely designed and offers an excellent infrastructure to the residents. It spreads across a super built-up area of 1215.0 sq. ft. You can now get it for Rs. 1.46 Crore. Elite Golf Greens offers inclusion of essential amenities like Car Parkin..."
45,3C Lotus Panache,"2 BHK Flat in Sector 110, Noida",2 BHK,"1,130-1,330 sqft",₹96.05 Lac - 1.13 cr,"Own a 2 BHK apartment in 3C Lotus Panache, Sector 110, Noida for a comfortable living. With a super built-up area of 1130.0 sq. ft. to 1330.0 sq. ft., these 2 BHK apartments are available at a price range of Rs. 96.05 Lac to Rs. 1.13 Crore. 3C Lotus Panache is meticulously designed to bring you an awe-inspiring lifestyle and convenience. It hosts a series of facilities like a Billiards, Restaur..."
46,The Hyde Park,2 BHK Flat in Sector 78 Noida,2 BHK,"1,080 sqft",₹1.13 Cr,"This 2 bhk flat is located in the hyde park, which houses some of the most spacious flats in sector 78 noida. This is a west-Facing property. Constructed on a super built up area of 1080 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 3 balconies. The property is located on the 17th floor of a 22 floors tall building. As the project is already ready to move, so you can easily move into..."
47,Jaypee Aman,"2 BHK Flat in Sector 151, Noida",2 BHK,950 sqft,₹67 Lac,2 bhk 950 sq ft flat avlaible only for sale in jp aman sec 151 . Wood work done very prime floor park facing. If you are interested for buy this flat . So you can call us.
48,The Hyde Park,2 BHK Flat in Sector 78 Noida,2 BHK,"1,108 sqft",₹1.13 Cr,"Located in the popular residential address of sector 78 noida, the hyde park is one of the most preferred destination for apartments in noida. This 2 bhk flat is your ticket to be a part of this community. This is a south-Facing property. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 3 balconies. All in all, the flat is spread over a carpet area of 1108 sq.Ft. This flat is ..."
49,Jaypee Greens Kosmos,"2 BHK Flat in Sector 134, Noida",2 BHK,950 sqft,₹75 Lac,"Photos are sample only. Jaypee greens kosmos is one of the most popular destinations for buying apartments in sector-134 noida, noida. You can also be a part of this society by purchasing this 2 bhk flat here. The floor plan additionally contains 2 bathrooms and 2 balconies. All in all, the apartment is spread over a 950 sq.Ft. The apartment building has a total of 18 floors and this property i..."
50,Mahagun Moderne,2 BHK Flat in Sector 78 Noida,2 BHK,"1,010-1,090 sqft",₹1.38 - 1.49 Cr,"Experience a new style of living with Mahagun Moderne. The project offers an exclusive range of 2 BHK flats in Sector 78, Noida at a price range of Rs. 1.38 Crore - Rs. 1.49 Crore. These flats have a built-up area ranging from 1010.0 sq. ft. - 1090.0sq. ft. It is a ready to move project. The design is done keeping every small to large needs of residents in consideration. Plus, a comprehensive r..."
51,Mahagun Mirabella,"2 BHK Flat in Sector 79, Noida",2 BHK,"1,380-1,400 sqft",₹1.66 - 1.68 Cr,"Let your dream of owning a flat come true with Mahagun Mirabella. It offers an exclusive range of 2 BHK flats in Sector 79, Noida. They are available at price of Rs. 1.66 Crore - Rs. 1.68 Crore and have a super built-up area of 1380.0 sq. ft. to 1400.0 sq. ft. The project is a secured gated community that further has 24x7 security systems. It has round the clock power back up as well as feature..."
52,Pan Oasis,"2 BHK Flat in Sector 70, Noida",2 BHK,850 sqft,₹1 Cr,"Hello everyone This is all fully furnished flat ,all luxuary kind of work are done in this flat Ready to move flat... In flooring owner good quality of tiles and kitchen work are so good"
53,Eureka Park By Tata Value Homes,"2 BHK Flat in Sector 150, Noida",2 BHK,"1,100 sqft",₹1.15 Cr,"Looking for a 2 bhk property for sale in noida? Buy this 2 bhk flat in eureka park by tata value homes that is situated in sector 150 noida. This residential flat is north-East-Facing direction. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 1100 sq.Ft. The residential building has 28 floors in total a..."
54,Elixir Divine Meadows,"2 BHK Flat in Sector 108, Noida",2 BHK,"1,436 sqft",₹1.15 Cr,"The company is in the business of real estate development since 2004. During its existence, the company has carried out projects of high magnitude successfully. Our sound management practices guarantee a fluid transliteration of ideas into reality. We are known for our ethical business standards and straight line approach with not only our cliets, but with our vendors, channel partners and co-W..."
55,ACE Golfshire,"2 BHK Flat in Sector 150, Noida",2 BHK,"1,195 sqft",₹1.25 Cr,"Situated in sector 150 noida, ace golfshire is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in noida is your opportunity to be a part of this community. This residential flat is east-Facing direction. Constructed on a super built up area of 1195 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 3 balconies. The property is located on t..."
56,Godrej Woods,"2 BHK Flat in Sector 43, Noida",2 BHK,777 sqft,₹1.85 Cr,Fully furnished 2 bhk in godrej woods for sale
