,society_name,short_description,bhk,square_feet,price,description
0,"Shree Ananth Nagar Layout, Electronic City, Bangalore South","Residential land / Plot in Shree Ananth Nagar Layout, Electronic City",Plot/Land,"1,170 sqft",₹1.17 Cr,"The land is available in the 5th cross, ananth nagar, electronic city phase 2. It is a premium location where apartment, pg or office can be constructed as the rent is very good in this area. Front and back both side there is a road, so the ventilation is very nice."
1,"Shree Ananth Nagar Layout, Electronic City, Bangalore South","5 Bedroom House in Shree Ananth Nagar Layout, Electronic City",5 BHK,"1,200 sqft",₹1.9 Cr,"The best safety and quality of built is excellent because we built to reside ourselves and all the best schools, hospitals and markets are very near to our property max 5-10mts travel"
,society_name,short_description,bhk,square_feet,price,description
0,"Shree Ananth Nagar Layout, Electronic City, Bangalore South","Residential land / Plot in Shree Ananth Nagar Layout, Electronic City",Plot/Land,"1,170 sqft",₹1.17 Cr,"The land is available in the 5th cross, ananth nagar, electronic city phase 2. It is a premium location where apartment, pg or office can be constructed as the rent is very good in this area. Front and back both side there is a road, so the ventilation is very nice."
1,"Shree Ananth Nagar Layout, Electronic City, Bangalore South","5 Bedroom House in Shree Ananth Nagar Layout, Electronic City",5 BHK,"1,200 sqft",₹1.9 Cr,"The best safety and quality of built is excellent because we built to reside ourselves and all the best schools, hospitals and markets are very near to our property max 5-10mts travel"
