,society_name,short_description,bhk,square_feet,price,description
130,Jaypee Greens Star Court,"1 BHK Flat in Jaypee Greens, Greater Noida",1 BHK,465 sqft,₹75 Lac,"Overview Offering a rare blend of opulence and livability, jaypee greens star court apartments fulfill the promise of giving you more than what meets the eye. A set of nine towers of 19 floors, offering studio, 2& 3 bhk apartments with areas ranging from 42.05 sq.M 225.60 sq.M. (452.67 sq.Ft. To 2428.41sq.Ft.),set on the periphery of 18-Hole golf course and the landscaped greens, every apartmen..."
131,Jaypee Greens Star Court,"Studio Apartments / 1 RK Flats in Jaypee Greens, Greater Noida",1 BHK,465 sqft,₹75 Lac,"Offering a rare blend of opulence and livability, jaypee greens star court apartments fulfill the promise of giving you more than what meets the eye. A set of nine towers of 19 floors, offering studio, 2 3 bhk apartments with areas ranging from 42.05 sq.M 225.60 sq.M. 452.67 sq.Ft. To 2428.41sq.Ft.,set on the periphery of 18-Hole golf course and the landscaped greens, every apartment offers spe..."
132,Jaypee Greens Moon Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"1,980 sqft",₹2.5 Cr,"This beautiful 3 bhk flat in jaypee greens, greater noida is situated in jaypee greens moon court, one of the popular residential society in greater noida. This is a east-Facing property. Constructed on a super built up area of 1981 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 1 balcony. This flat lies on the 14th level of a 19 storey building. An added advantage of this 5-10 years ..."
133,Jaypee Greens The Castille 3,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"1,972 sqft",₹1.96 Cr,"Jaypee greens the castille 3 in jaypee greens, greater noida is a ready-To-Move housing society. It offers apartments in varied budget range. These units are a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences. There are 3bhk apartments available in this project. This housing society is now ready to be called home as families have started..."
134,Jaypee Greens Moon Court,"2 BHK Flat in Jaypee Greens, Greater Noida",2 BHK,"1,420 sqft",₹1.65 Cr,"Jaypee greens moon court is one of the most popular destination for buying apartments/ flats in jaypee greens, greater noida. You too can be a part of this society by purchasing this 2 bhk flat here. The flat occupies a carpet area of 1420 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 1 balcony. This flat is situated on the 6th floor of this 19 floors tall residential building. As the pro..."
135,Jaypee Greens Town Homes,"Residential land / Plot in Jaypee Greens, Greater Noida",Plot/Land,"1,377 sqft",₹2.8 Cr,"Kensington park plots is a residential plotted community at jaypee greens wish town, noida. Created for exclusive living of select few, this jaypee greens property has dedicated spaces catering to all comforts you desire. Now, enjoy the freedom to paint your dreams far & wild - Design your dream home & fulfill your never ending desires. Kensington park aims to be your ideal place- To not just r..."
136,Jaypee Greens Crescent Court,"1 BHK Flat in Jaypee Greens, Greater Noida",1 BHK,"1,380 sqft",₹1.7 Cr,Practice golf view Luxury property in jaypee greens
137,Jaypee Greens Star Court,"2 BHK Flat in Jaypee Greens, Greater Noida",2 BHK,"1,650 sqft",₹1.8 Cr,Starcourt jaypee greens 2bhk 18 hole golf view from apartment
138,Jaypee Greens Moon Court,"2 BHK Flat in Jaypee Greens, Greater Noida",2 BHK,"1,414 sqft",₹1.6 Cr,Moon court jaypee greens 2bhk Garden veiw from the apartment Prestigious project in town
139,Jaypee Greens Crescent Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"3,880 sqft",₹5.75 Cr,Golf course view crecent court 3bhk plus servant
140,Jaypee Greens Star Court,"2 BHK Flat in Jaypee Greens, Greater Noida",2 BHK,201 sqft,₹1.8 Cr,"This 2 bhk apartment is available for sale in jaypee greens star court, one of the most prominent projects for flats in jaypee greens, greater noida. The flat is facing the east direction. Constructed on a super built up area of 202 sq.Ft., the flat comprises 2 bedroom(s), 3 bathrooms and 1 balcony. The property is located on the 12th floor of a 19 floors tall building. An added advantage of th..."
141,Jaypee Greens Star Court,"1 BHK Flat in Jaypee Greens, Greater Noida",1 BHK,470 sqft,₹75 Lac,"This 1 bhk apartment is available for sale in jaypee greens star court, one of the most prominent projects for flats in jaypee greens, greater noida. This residential flat is north-West-Facing direction. Constructed on a super built up area of 470 sq.Ft., the flat comprises 1 bedroom(s), 1 bathroom . This flat is situated on the top floor of this 19 floors tall residential building. An added ad..."
