,society_name,short_description,bhk,square_feet,price,description
67,Jaypee Greens Moon Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"1,980 sqft",₹2.3 Cr,"Situated in jaypee greens, greater noida, jaypee greens moon court is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in greater noida is your opportunity to be a part of this community. The flat is north-East-Facing. Constructed on a super built up area of 1981 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 1 balcony. The residential ..."
68,Jaypee Greens Star Court,"2 BHK Flat in Jaypee Greens, Greater Noida",2 BHK,"1,651 sqft",₹2.15 Cr,"This lovely 2 bhk apartment/flat in jaypee greens is available for sale in one of greater noida's most popular projects, jaypee greens star court. The flat is west-Facing. The flat occupies a super built up area of 1652 sq.Ft. That consists of 2 bedrooms, 3 bathrooms and 1 balcony. The residential building has 19 floors in total and the flat for sale is located on the 8th floor. This 5-10 years..."
69,Jaypee Greens The Sun Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"3,850 sqft",₹6.1 Cr,"Looking for a 3 bhk property for sale in greater noida? Buy this 3 bhk flat in jaypee greens the sun court that is situated in jaypee greens, greater noida. This is a north-East-Facing property. The floor plan additionally contains 5 bathrooms and 3 balconies. All in all, the flat is spread over an 3850 sq.Ft.. The flat building has a total of 30 floors and this property is situated on 18th flo..."
70,Jaypee Greens Star Court,"2 BHK Flat in Jaypee Greens, Greater Noida",2 BHK,"1,651 sqft",₹2.12 Cr,"Situated in jaypee greens, greater noida, jaypee greens star court is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in greater noida is your opportunity to be a part of this community. This property faces the north-West direction. Containing 2 bedroom(s), 3 bathrooms and 2 balconies, this flat is spread over a super built up area of 1652 sq.Ft..."
71,Jaypee Greens Moon Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"1,917 sqft",₹2.65 Cr,"Situated in jaypee greens, greater noida, jaypee greens moon court is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in greater noida is your opportunity to be a part of this community. This property faces the north-East direction. The floor plan additionally contains 3 bedroom(s), 4 bathrooms and 1 balcony. All in all, the flat is spread over ..."
72,Jaypee Greens Crescent Court,"2 BHK Flat in Jaypee Greens, Greater Noida",2 BHK,"2,640 sqft",₹5.35 Cr,"This lovely 2 bhk apartment/flat in jaypee greens is available for sale in one of greater noida's most popular projects, jaypee greens crescent court. The flat is facing the north-West direction. The floor plan additionally contains 2 bedroom(s), 3 bathrooms and 1 balcony. All in all, the flat is spread over a super built up area of 2640 sq.Ft. This flat is situated on the 10th floor of this 22..."
73,Jaypee Greens The Sun Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"3,850 sqft",₹7 Cr,"This lovely 3 bhk apartment/flat in jaypee greens is available for sale in one of greater noida's most popular projects, jaypee greens the sun court. This property faces the east direction. Containing 3 bedroom(s), 5 bathrooms and 3 balconies, this flat is spread over a super built up area of 3850 sq.Ft. This flat is situated on the 11th floor of this 30 floors tall residential building. This i..."
74,Jaypee Greens Star Court,"2 BHK Flat in Jaypee Greens, Greater Noida",2 BHK,"1,702 sqft",₹2.15 Cr,"This 2 bhk apartment is available for sale in jaypee greens star court, one of the most prominent projects for flats in jaypee greens, greater noida. The flat is facing the west direction. The flat occupies a super built up area of 1702 sq.Ft. That consists of 2 bedrooms, 3 bathrooms and 2 balconies. This flat is situated on the 6th floor of this 20 floors tall residential building. As the proj..."
75,Jaypee Greens Star Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"2,200 sqft",₹3.1 Cr,"Jaypee greens star court is one of greater noida's most sought after destination for apartments and this 3 bhk flat in jaypee greens is your opportunity to be a part of this community. The flat is north-East-Facing. Containing 3 bedroom(s), 4 bathrooms and 1 balcony, this flat is spread over a super built up area of 2200 sq.Ft. The property is located on the 1st floor of a 19 floors tall buildi..."
76,Jaypee Greens Crescent Court,"3 BHK Flat in Jaypee Greens, Greater Noida",3 BHK,"3,550 sqft",₹6.5 Cr,"This 3 bhk apartment is available for sale in jaypee greens crescent court, one of the most prominent projects for flats in jaypee greens, greater noida. The flat is north-East-Facing. Containing 3 bedroom(s), 3 bathrooms and 2 balconies, this flat is spread over a super built up area of 3550 sq.Ft. The flat has a total of 22 floors and this property is situated on 16th floor. An added advantag..."
