,society_name,short_description,bhk,square_feet,price,description
0,Magarpatta Annex,"3 BHK Flat in Magarpatta, Pune",3 BHK,"1,524 sqft",₹1.5 Cr,"Ganga avanta is the most luxurious project in magarpatta road, mudhwa. It has 2,3,4 bhk luxury homes offering premium amenities.Ganga avanta will be constructed on 3 acres of land parcel, 2 towers with g+5p+24 floors having 3 bhk, 4 bhk premium residences."
1,Magarpatta Annex,"2 BHK Flat in Magarpatta, Pune East",2 BHK,"1,000 sqft",₹1.05 Cr,"Excellent 2 bhk multistorey apartment for sale in magarpatta city annexe , pune . Great connectivity to the rest of city , just a 2 min drive from the amanora mall and season mall . Please contact us for more details."
2,Magarpatta Annex,"2 BHK Flat in Magarpatta, Pune East",2 BHK,701 sqft,₹1.05 Cr,"Excellent font facing 2 bhk flat is available for sale in wellknown magarpatta city annexe . Residential flat at multistory apartment in a cosmopolitan society. The society is having 24 hours water supply. Distance for fruit, vegetable and grocery market is walkable .The area in which the society is situated having lush green environment and totally pollution free zone."
3,Magarpatta Annex,"1 BHK Flat in Magarpatta, Pune East",1 BHK,650 sqft,₹74.5 Lac,"This lovely 1 bhk apartment/flat in magarpatta is available for sale in one of pune east's most popular projects, magarpatta annex. This is a east-Facing property. Constructed on a super built up area of 650 sq.Ft., the flat comprises 1 bedroom(s), 1 bathroom and 1 balcony. The residential building has 12 floors in total and the flat for sale is located on the 5th floor. As the project is alrea..."
4,Magarpatta Annex,"2 BHK Flat in Magarpatta, Pune East",2 BHK,900 sqft,₹1.05 Cr,"Excellent font facing 2 bhk flat is available for sale in wellknown magarpatta city annexe . Residential flat at multistory apartment in a cosmopolitan society. The society is having 24 hours water supply. Distance for fruit, vegetable and grocery market is walkable .The area in which the society is situated having lush green environment and totally pollution free zone."
6,Magarpatta Annex,"3 BHK Flat in Magarpatta, Pune",3 BHK,"1,524 sqft",₹1.49 Cr,"Ganga avanta is the most luxurious project in magarpatta road, mudhwa. It has ,3 & 4bhk luxury homes offering premium amenities.Ganga avanta will be constructed on 3 acres of land parcel, 2 towers with g+5p+24 floors having 3 bhk, 4 bhk premium residences."
7,Magarpatta Annex,"2 BHK Flat in Magarpatta, Pune",2 BHK,"1,205 sqft",₹1.2 Cr,"Ganga avanta is the most luxurious project in magarpatta road, mudhwa. It has 2,3,4 bhk luxury homes offering premium amenities.Ganga avanta will be constructed on 3 acres of land parcel, 2 towers with g+5p+24 floors having 3 bhk, 4 bhk premium residences."
8,Magarpatta Annex,"1 BHK Flat in Magarpatta, Pune East",1 BHK,650 sqft,₹70 Lac,"1 bhk flat for sale in annex society in magarpatta city township. Flat having good view & nice ventilation. Society having all modern amenities & facilities. This is the basic cost, other charges are extra like, stamp duty, registration, maintenance , transfer charges. This society is very near to season mall & cyber city offices. This society is well connected to main road."
